Created as New Dataset,Sample 003 By Administrator Date Thursday, December 10 2020
cm-1,%T
3462.00,60.60
3461.00,60.50
3460.00,60.41
3459.00,60.30
3458.00,60.15
3457.00,59.97
3456.00,59.78
3455.00,59.61
3454.00,59.46
3453.00,59.32
3452.00,59.19
3451.00,59.07
3450.00,58.95
3449.00,58.82
3448.00,58.67
3447.00,58.49
3446.00,58.32
3445.00,58.17
3444.00,58.03
3443.00,57.87
3442.00,57.71
3441.00,57.56
3440.00,57.44
3439.00,57.33
3438.00,57.21
3437.00,57.08
3436.00,56.96
3435.00,56.85
3434.00,56.76
3433.00,56.67
3432.00,56.58
3431.00,56.46
3430.00,56.32
3429.00,56.16
3428.00,56.00
3427.00,55.85
3426.00,55.72
3425.00,55.61
3424.00,55.49
3423.00,55.34
3422.00,55.18
3421.00,55.04
3420.00,54.94
3419.00,54.89
3418.00,54.83
3417.00,54.76
3416.00,54.63
3415.00,54.46
3414.00,54.28
3413.00,54.13
3412.00,54.02
3411.00,53.96
3410.00,53.90
3409.00,53.82
3408.00,53.72
3407.00,53.62
3406.00,53.52
3405.00,53.41
3404.00,53.30
3403.00,53.18
3402.00,53.05
3401.00,52.94
3400.00,52.85
3399.00,52.78
3398.00,52.69
3397.00,52.59
3396.00,52.47
3395.00,52.37
3394.00,52.29
3393.00,52.22
3392.00,52.15
3391.00,52.07
3390.00,51.98
3389.00,51.88
3388.00,51.80
3387.00,51.73
3386.00,51.67
3385.00,51.61
3384.00,51.54
3383.00,51.46
3382.00,51.37
3381.00,51.30
3380.00,51.26
3379.00,51.25
3378.00,51.24
3377.00,51.21
3376.00,51.15
3375.00,51.06
3374.00,50.97
3373.00,50.88
3372.00,50.77
3371.00,50.66
3370.00,50.58
3369.00,50.54
3368.00,50.54
3367.00,50.56
3366.00,50.58
3365.00,50.60
3364.00,50.60
3363.00,50.56
3362.00,50.51
3361.00,50.46
3360.00,50.42
3359.00,50.39
3358.00,50.35
3357.00,50.31
3356.00,50.28
3355.00,50.25
3354.00,50.23
3353.00,50.23
3352.00,50.22
3351.00,50.19
3350.00,50.16
3349.00,50.13
3348.00,50.12
3347.00,50.12
3346.00,50.11
3345.00,50.08
3344.00,50.07
3343.00,50.08
3342.00,50.11
3341.00,50.11
3340.00,50.08
3339.00,50.03
3338.00,50.00
3337.00,50.00
3336.00,50.02
3335.00,50.03
3334.00,50.03
3333.00,50.03
3332.00,50.03
3331.00,50.01
3330.00,49.98
3329.00,49.93
3328.00,49.90
