Created as New Dataset,Sample 002 By Administrator Date Thursday, December 10 2020
cm-1,%T
3028.00,78.49
3027.00,78.63
3026.00,78.80
3025.00,78.96
3024.00,79.10
3023.00,79.24
3022.00,79.38
3021.00,79.51
3020.00,79.62
3019.00,79.71
3018.00,79.80
3017.00,79.90
3016.00,80.01
3015.00,80.10
3014.00,80.17
3013.00,80.25
3012.00,80.34
3011.00,80.45
3010.00,80.58
3009.00,80.73
3008.00,80.86
3007.00,80.96
3006.00,81.02
3005.00,81.05
3004.00,81.10
3003.00,81.18
3002.00,81.29
3001.00,81.43
3000.00,81.57
2999.00,81.66
2998.00,81.70
2997.00,81.72
2996.00,81.75
2995.00,81.82
2994.00,81.90
2993.00,81.99
2992.00,82.04
2991.00,82.08
2990.00,82.12
2989.00,82.16
2988.00,82.20
2987.00,82.24
2986.00,82.26
2985.00,82.27
2984.00,82.27
2983.00,82.29
2982.00,82.33
2981.00,82.40
2980.00,82.49
2979.00,82.57
2978.00,82.61
2977.00,82.62
2976.00,82.61
2975.00,82.62
2974.00,82.64
2973.00,82.66
2972.00,82.66
2971.00,82.66
2970.00,82.70
2969.00,82.76
2968.00,82.82
2967.00,82.86
2966.00,82.90
2965.00,82.94
2964.00,82.99
2963.00,83.07
2962.00,83.17
2961.00,83.28
2960.00,83.38
2959.00,83.46
2958.00,83.52
2957.00,83.57
2956.00,83.62
2955.00,83.67
2954.00,83.73
2953.00,83.80
2952.00,83.86
2951.00,83.92
2950.00,83.98
2949.00,84.03
2948.00,84.07
2947.00,84.12
2946.00,84.16
2945.00,84.20
2944.00,84.23
2943.00,84.25
2942.00,84.26
2941.00,84.26
2940.00,84.28
2939.00,84.32
2938.00,84.41
2937.00,84.51
2936.00,84.60
2935.00,84.68
2934.00,84.73
2933.00,84.78
2932.00,84.83
2931.00,84.89
2930.00,84.94
2929.00,84.99
2928.00,85.04
2927.00,85.09
2926.00,85.15
2925.00,85.23
2924.00,85.31
2923.00,85.39
2922.00,85.45
2921.00,85.52
2920.00,85.60
2919.00,85.69
2918.00,85.78
2917.00,85.87
2916.00,85.97
2915.00,86.08
2914.00,86.18
2913.00,86.26
2912.00,86.34
2911.00,86.44
2910.00,86.54
2909.00,86.64
2908.00,86.72
2907.00,86.79
2906.00,86.86
2905.00,86.96
2904.00,87.09
2903.00,87.21
2902.00,87.29
2901.00,87.33
2900.00,87.38
2899.00,87.44
2898.00,87.52
2897.00,87.57
2896.00,87.60
2895.00,87.62
2894.00,87.64
2893.00,87.68
2892.00,87.73
2891.00,87.80
2890.00,87.87
2889.00,87.90
2888.00,87.90
2887.00,87.90
2886.00,87.93
2885.00,88.00
2884.00,88.09
2883.00,88.16
2882.00,88.20
2881.00,88.20
2880.00,88.20
2879.00,88.22
2878.00,88.27
2877.00,88.34
2876.00,88.41
2875.00,88.47
2874.00,88.53
2873.00,88.60
2872.00,88.68
2871.00,88.74
2870.00,88.80
2869.00,88.84
2868.00,88.87
2867.00,88.91
2866.00,88.96
2865.00,89.02
