Created as New Dataset,Sample 004 By Administrator Date Thursday, December 10 2020
cm-1,%T
3496.00,65.01
3495.00,64.88
3494.00,64.73
3493.00,64.57
3492.00,64.39
3491.00,64.23
3490.00,64.08
3489.00,63.96
3488.00,63.85
3487.00,63.73
3486.00,63.59
3485.00,63.44
3484.00,63.27
3483.00,63.07
3482.00,62.86
3481.00,62.67
3480.00,62.53
3479.00,62.41
3478.00,62.28
3477.00,62.15
3476.00,62.01
3475.00,61.88
3474.00,61.76
3473.00,61.64
3472.00,61.48
3471.00,61.30
3470.00,61.12
3469.00,60.96
3468.00,60.83
3467.00,60.71
3466.00,60.58
3465.00,60.46
3464.00,60.34
3463.00,60.22
3462.00,60.11
3461.00,60.00
3460.00,59.90
3459.00,59.79
3458.00,59.68
3457.00,59.57
3456.00,59.46
3455.00,59.35
3454.00,59.21
3453.00,59.04
3452.00,58.85
3451.00,58.67
3450.00,58.49
3449.00,58.32
3448.00,58.15
3447.00,57.98
3446.00,57.82
3445.00,57.70
3444.00,57.60
3443.00,57.51
3442.00,57.40
3441.00,57.28
3440.00,57.14
3439.00,56.98
3438.00,56.82
3437.00,56.68
3436.00,56.56
3435.00,56.46
3434.00,56.34
3433.00,56.20
3432.00,56.05
3431.00,55.91
3430.00,55.79
3429.00,55.67
3428.00,55.58
3427.00,55.50
3426.00,55.40
3425.00,55.28
3424.00,55.15
3423.00,55.01
3422.00,54.87
3421.00,54.75
3420.00,54.64
3419.00,54.55
3418.00,54.46
3417.00,54.37
3416.00,54.26
3415.00,54.13
3414.00,53.98
3413.00,53.82
3412.00,53.68
3411.00,53.56
3410.00,53.47
3409.00,53.38
3408.00,53.30
3407.00,53.23
3406.00,53.15
3405.00,53.05
3404.00,52.94
3403.00,52.81
3402.00,52.68
3401.00,52.57
3400.00,52.47
3399.00,52.38
3398.00,52.31
3397.00,52.24
3396.00,52.17
3395.00,52.07
3394.00,51.96
3393.00,51.85
3392.00,51.75
3391.00,51.69
3390.00,51.63
3389.00,51.58
3388.00,51.53
3387.00,51.47
3386.00,51.41
3385.00,51.35
3384.00,51.28
3383.00,51.21
3382.00,51.15
3381.00,51.09
3380.00,51.04
3379.00,50.99
3378.00,50.95
3377.00,50.91
3376.00,50.88
3375.00,50.87
3374.00,50.84
3373.00,50.78
3372.00,50.71
3371.00,50.64
3370.00,50.58
