Created as New Dataset,Sample 001 By Administrator Date Thursday, December 10 2020
cm-1,%T
3483.00,64.55
3482.00,64.36
3481.00,64.19
3480.00,64.04
3479.00,63.91
3478.00,63.76
3477.00,63.60
3476.00,63.43
3475.00,63.27
3474.00,63.11
3473.00,62.96
3472.00,62.81
3471.00,62.66
3470.00,62.50
3469.00,62.35
3468.00,62.20
3467.00,62.06
3466.00,61.93
3465.00,61.80
3464.00,61.67
3463.00,61.53
3462.00,61.38
3461.00,61.24
3460.00,61.10
3459.00,60.96
3458.00,60.83
3457.00,60.69
3456.00,60.55
3455.00,60.40
3454.00,60.23
3453.00,60.05
3452.00,59.87
3451.00,59.69
3450.00,59.53
3449.00,59.37
3448.00,59.19
3447.00,58.99
3446.00,58.80
3445.00,58.65
3444.00,58.51
3443.00,58.38
3442.00,58.25
3441.00,58.12
3440.00,57.98
3439.00,57.82
3438.00,57.63
3437.00,57.45
3436.00,57.28
3435.00,57.14
3434.00,57.03
3433.00,56.93
3432.00,56.84
3431.00,56.73
3430.00,56.60
3429.00,56.45
3428.00,56.29
3427.00,56.12
3426.00,55.97
3425.00,55.83
3424.00,55.73
3423.00,55.63
3422.00,55.52
3421.00,55.41
3420.00,55.28
3419.00,55.15
3418.00,55.01
3417.00,54.85
3416.00,54.68
3415.00,54.49
3414.00,54.31
3413.00,54.14
3412.00,54.02
3411.00,53.93
3410.00,53.85
3409.00,53.76
3408.00,53.66
3407.00,53.55
3406.00,53.46
3405.00,53.38
3404.00,53.30
3403.00,53.19
3402.00,53.06
3401.00,52.93
3400.00,52.80
3399.00,52.69
3398.00,52.59
3397.00,52.49
3396.00,52.38
3395.00,52.27
3394.00,52.15
3393.00,52.04
3392.00,51.96
3391.00,51.89
3390.00,51.84
3389.00,51.81
3388.00,51.77
3387.00,51.72
3386.00,51.65
3385.00,51.57
3384.00,51.48
3383.00,51.38
3382.00,51.26
3381.00,51.15
3380.00,51.07
3379.00,51.01
3378.00,50.95
3377.00,50.88
3376.00,50.83
3375.00,50.80
3374.00,50.76
3373.00,50.70
3372.00,50.61
3371.00,50.51
3370.00,50.43
3369.00,50.37
3368.00,50.34
3367.00,50.32
3366.00,50.32
3365.00,50.31
3364.00,50.28
3363.00,50.24
3362.00,50.18
3361.00,50.12
3360.00,50.08
3359.00,50.07
3358.00,50.06
3357.00,50.06
3356.00,50.05
3355.00,50.03
3354.00,49.99
3353.00,49.95
3352.00,49.90
3351.00,49.85
3350.00,49.82
3349.00,49.81
3348.00,49.81
3347.00,49.80
3346.00,49.79
3345.00,49.76
3344.00,49.73
3343.00,49.70
3342.00,49.68
3341.00,49.65
3340.00,49.61
3339.00,49.58
3338.00,49.55
3337.00,49.55
3336.00,49.58
3335.00,49.62
3334.00,49.65
3333.00,49.65
3332.00,49.62
3331.00,49.58
3330.00,49.54
3329.00,49.52
3328.00,49.50
3327.00,49.48
3326.00,49.48
3325.00,49.51
3324.00,49.56
3323.00,49.60
3322.00,49.62
3321.00,49.64
3320.00,49.64
3319.00,49.65
3318.00,49.64
3317.00,49.63
3316.00,49.62
3315.00,49.59
3314.00,49.55
3313.00,49.53
3312.00,49.54
3311.00,49.58
3310.00,49.62
3309.00,49.64
3308.00,49.62
3307.00,49.60
3306.00,49.60
3305.00,49.61
3304.00,49.61
3303.00,49.61
3302.00,49.60
3301.00,49.59
3300.00,49.59
3299.00,49.58
3298.00,49.58
3297.00,49.60
3296.00,49.65
3295.00,49.69
3294.00,49.72
3293.00,49.71
3292.00,49.68
3291.00,49.66
3290.00,49.65
3289.00,49.65
3288.00,49.65
3287.00,49.64
3286.00,49.63
3285.00,49.63
3284.00,49.66
3283.00,49.68
3282.00,49.70
3281.00,49.69
3280.00,49.66
3279.00,49.63
3278.00,49.64
3277.00,49.69
3276.00,49.77
3275.00,49.82
3274.00,49.81
3273.00,49.77
3272.00,49.72
3271.00,49.70
3270.00,49.71
3269.00,49.72
3268.00,49.72
3267.00,49.71
3266.00,49.71
3265.00,49.72
3264.00,49.73
3263.00,49.73
3262.00,49.74
3261.00,49.76
3260.00,49.79
3259.00,49.82
3258.00,49.82
3257.00,49.81
3256.00,49.80
3255.00,49.79
3254.00,49.80
3253.00,49.84
3252.00,49.90
3251.00,49.97
3250.00,50.02
3249.00,50.05
3248.00,50.07
3247.00,50.08
3246.00,50.10
3245.00,50.14
3244.00,50.19
3243.00,50.23
3242.00,50.29
3241.00,50.36
3240.00,50.43
3239.00,50.47
3238.00,50.46
3237.00,50.43
3236.00,50.41
3235.00,50.43
3234.00,50.46
3233.00,50.52
3232.00,50.59
3231.00,50.69
3230.00,50.80
3229.00,50.90
3228.00,50.95
3227.00,50.98
3226.00,51.03
3225.00,51.10
3224.00,51.19
3223.00,51.25
3222.00,51.29
3221.00,51.33
3220.00,51.39
3219.00,51.48
3218.00,51.59
3217.00,51.71
3216.00,51.83
3215.00,51.93
3214.00,52.01
3213.00,52.10
3212.00,52.19
3211.00,52.30
3210.00,52.41
3209.00,52.50
3208.00,52.60
3207.00,52.69
3206.00,52.79
3205.00,52.88
3204.00,52.97
3203.00,53.04
3202.00,53.13
3201.00,53.24
3200.00,53.39
3199.00,53.54
3198.00,53.68
3197.00,53.79
3196.00,53.90
3195.00,54.01
3194.00,54.12
3193.00,54.23
3192.00,54.36
3191.00,54.51
3190.00,54.68
3189.00,54.87
3188.00,55.06
3187.00,55.24
3186.00,55.40
3185.00,55.53
3184.00,55.65
3183.00,55.78
3182.00,55.91
3181.00,56.06
3180.00,56.23
3179.00,56.41
3178.00,56.59
3177.00,56.76
3176.00,56.91
3175.00,57.04
3174.00,57.16
3173.00,57.29
3172.00,57.46
3171.00,57.65
3170.00,57.83
3169.00,58.01
3168.00,58.16
3167.00,58.31
3166.00,58.47
3165.00,58.64
3164.00,58.84
3163.00,59.06
3162.00,59.26
3161.00,59.44
3160.00,59.60
3159.00,59.78
3158.00,60.00
3157.00,60.24
3156.00,60.47
3155.00,60.65
3154.00,60.81
3153.00,60.98
3152.00,61.16
3151.00,61.34
3150.00,61.51
3149.00,61.67
3148.00,61.83
3147.00,62.01
3146.00,62.21
3145.00,62.42
3144.00,62.64
3143.00,62.84
3142.00,63.03
3141.00,63.21
3140.00,63.40
3139.00,63.60
3138.00,63.79
3137.00,63.98
3136.00,64.17
3135.00,64.37
3134.00,64.57
3133.00,64.76
3132.00,64.95
3131.00,65.14
3130.00,65.36
3129.00,65.59
3128.00,65.81
3127.00,66.02
3126.00,66.22
3125.00,66.42
3124.00,66.62
3123.00,66.81
3122.00,66.99
3121.00,67.19
3120.00,67.40
3119.00,67.61
3118.00,67.82
3117.00,68.00
3116.00,68.13
3115.00,68.25
3114.00,68.38
3113.00,68.56
3112.00,68.77
3111.00,68.99
3110.00,69.21
3109.00,69.44
3108.00,69.66
3107.00,69.87
3106.00,70.06
3105.00,70.24
3104.00,70.41
3103.00,70.60
3102.00,70.80
3101.00,71.01
3100.00,71.20
