Created as New Dataset,Sample 000 By Administrator Date Thursday, December 10 2020
cm-1,%T
3264.00,49.28
3263.00,49.26
3262.00,49.27
3261.00,49.30
3260.00,49.32
3259.00,49.33
3258.00,49.34
3257.00,49.34
3256.00,49.33
3255.00,49.32
3254.00,49.31
3253.00,49.33
3252.00,49.38
3251.00,49.44
3250.00,49.49
3249.00,49.53
3248.00,49.55
3247.00,49.58
3246.00,49.61
3245.00,49.64
3244.00,49.67
3243.00,49.69
3242.00,49.71
3241.00,49.75
3240.00,49.80
3239.00,49.85
3238.00,49.88
3237.00,49.88
3236.00,49.87
3235.00,49.88
3234.00,49.93
3233.00,50.00
3232.00,50.09
3231.00,50.17
3230.00,50.24
3229.00,50.29
3228.00,50.33
3227.00,50.37
3226.00,50.39
3225.00,50.41
3224.00,50.43
3223.00,50.46
3222.00,50.52
3221.00,50.62
3220.00,50.73
3219.00,50.83
3218.00,50.92
3217.00,51.01
3216.00,51.09
3215.00,51.18
3214.00,51.27
3213.00,51.36
3212.00,51.47
3211.00,51.57
3210.00,51.65
3209.00,51.71
3208.00,51.77
3207.00,51.83
3206.00,51.91
3205.00,52.00
3204.00,52.10
3203.00,52.20
3202.00,52.30
3201.00,52.40
3200.00,52.48
3199.00,52.55
3198.00,52.63
3197.00,52.73
3196.00,52.87
3195.00,53.03
3194.00,53.20
3193.00,53.35
3192.00,53.48
3191.00,53.59
3190.00,53.71
3189.00,53.87
3188.00,54.05
3187.00,54.20
3186.00,54.33
3185.00,54.43
3184.00,54.55
3183.00,54.66
3182.00,54.78
3181.00,54.90
3180.00,55.04
3179.00,55.20
3178.00,55.37
3177.00,55.52
3176.00,55.65
3175.00,55.77
3174.00,55.90
3173.00,56.06
3172.00,56.23
3171.00,56.40
3170.00,56.56
3169.00,56.72
3168.00,56.89
3167.00,57.05
3166.00,57.20
3165.00,57.34
3164.00,57.48
3163.00,57.62
3162.00,57.76
3161.00,57.89
3160.00,58.02
3159.00,58.18
3158.00,58.36
3157.00,58.55
3156.00,58.75
3155.00,58.92
3154.00,59.06
3153.00,59.20
3152.00,59.36
3151.00,59.54
3150.00,59.73
3149.00,59.93
3148.00,60.10
3147.00,60.26
3146.00,60.42
3145.00,60.57
3144.00,60.72
3143.00,60.87
3142.00,61.03
3141.00,61.21
3140.00,61.41
3139.00,61.61
3138.00,61.82
3137.00,62.02
3136.00,62.21
3135.00,62.39
3134.00,62.54
3133.00,62.67
3132.00,62.82
3131.00,63.02
3130.00,63.24
3129.00,63.45
3128.00,63.65
3127.00,63.83
3126.00,64.02
3125.00,64.21
3124.00,64.40
3123.00,64.56
3122.00,64.71
3121.00,64.85
3120.00,65.01
3119.00,65.16
3118.00,65.31
3117.00,65.46
3116.00,65.59
3115.00,65.72
3114.00,65.87
3113.00,66.05
3112.00,66.24
3111.00,66.45
3110.00,66.66
3109.00,66.86
3108.00,67.05
3107.00,67.23
3106.00,67.40
3105.00,67.56
3104.00,67.73
3103.00,67.91
3102.00,68.10
3101.00,68.29
3100.00,68.46
3099.00,68.63
3098.00,68.80
3097.00,68.98
3096.00,69.17
3095.00,69.35
3094.00,69.51
3093.00,69.67
3092.00,69.84
3091.00,70.02
3090.00,70.21
3089.00,70.41
3088.00,70.59
3087.00,70.75
3086.00,70.87
3085.00,70.99
3084.00,71.11
3083.00,71.24
3082.00,71.38
3081.00,71.51
3080.00,71.65
3079.00,71.81
3078.00,71.99
3077.00,72.17
3076.00,72.32
3075.00,72.46
3074.00,72.60
3073.00,72.74
3072.00,72.90
3071.00,73.07
3070.00,73.25
3069.00,73.44
3068.00,73.61
3067.00,73.76
3066.00,73.90
3065.00,74.04
3064.00,74.20
3063.00,74.36
3062.00,74.51
3061.00,74.67
3060.00,74.82
3059.00,74.97
3058.00,75.12
3057.00,75.27
3056.00,75.40
3055.00,75.54
3054.00,75.68
3053.00,75.82
3052.00,75.98
3051.00,76.12
3050.00,76.24
3049.00,76.35
3048.00,76.48
3047.00,76.61
3046.00,76.75
3045.00,76.89
3044.00,77.04
3043.00,77.20
3042.00,77.37
3041.00,77.50
3040.00,77.60
3039.00,77.68
3038.00,77.78
3037.00,77.91
3036.00,78.07
3035.00,78.22
3034.00,78.35
3033.00,78.46
3032.00,78.55
3031.00,78.62
3030.00,78.70
3029.00,78.79
3028.00,78.94
3027.00,79.13
3026.00,79.33
3025.00,79.50
3024.00,79.64
3023.00,79.75
3022.00,79.86
3021.00,79.98
3020.00,80.09
3019.00,80.22
3018.00,80.35
3017.00,80.47
3016.00,80.57
3015.00,80.65
3014.00,80.73
3013.00,80.81
3012.00,80.90
3011.00,81.01
3010.00,81.15
3009.00,81.30
3008.00,81.42
3007.00,81.52
3006.00,81.59
3005.00,81.66
3004.00,81.73
3003.00,81.83
3002.00,81.95
3001.00,82.09
3000.00,82.23
2999.00,82.36
2998.00,82.46
2997.00,82.54
2996.00,82.64
2995.00,82.75
2994.00,82.87
2993.00,82.96
2992.00,83.02
2991.00,83.07
2990.00,83.13
2989.00,83.21
2988.00,83.30
2987.00,83.39
2986.00,83.46
2985.00,83.52
2984.00,83.58
2983.00,83.66
2982.00,83.77
2981.00,83.89
2980.00,84.00
2979.00,84.10
2978.00,84.17
2977.00,84.25
2976.00,84.34
2975.00,84.43
2974.00,84.52
2973.00,84.58
2972.00,84.63
2971.00,84.68
2970.00,84.75
2969.00,84.83
2968.00,84.92
2967.00,84.99
2966.00,85.05
2965.00,85.11
2964.00,85.19
2963.00,85.29
2962.00,85.38
2961.00,85.46
2960.00,85.53
2959.00,85.59
2958.00,85.64
2957.00,85.71
2956.00,85.79
2955.00,85.86
2954.00,85.93
2953.00,85.98
2952.00,86.04
2951.00,86.09
2950.00,86.15
2949.00,86.22
2948.00,86.28
2947.00,86.36
2946.00,86.43
2945.00,86.51
2944.00,86.59
2943.00,86.66
2942.00,86.73
2941.00,86.79
2940.00,86.85
2939.00,86.93
2938.00,87.01
2937.00,87.09
2936.00,87.15
2935.00,87.18
2934.00,87.19
2933.00,87.21
2932.00,87.25
2931.00,87.31
2930.00,87.39
2929.00,87.46
2928.00,87.53
2927.00,87.58
2926.00,87.61
2925.00,87.64
2924.00,87.70
2923.00,87.77
2922.00,87.84
2921.00,87.91
2920.00,87.96
2919.00,88.02
2918.00,88.09
2917.00,88.17
2916.00,88.24
2915.00,88.29
2914.00,88.32
2913.00,88.34
2912.00,88.37
2911.00,88.39
2910.00,88.42
2909.00,88.46
2908.00,88.51
2907.00,88.57
2906.00,88.63
2905.00,88.69
2904.00,88.76
2903.00,88.84
2902.00,88.93
2901.00,89.02
2900.00,89.10
2899.00,89.18
2898.00,89.23
2897.00,89.25
2896.00,89.24
2895.00,89.24
2894.00,89.25
2893.00,89.28
2892.00,89.31
2891.00,89.35
2890.00,89.40
2889.00,89.44
2888.00,89.48
2887.00,89.52
2886.00,89.56
2885.00,89.60
2884.00,89.63
2883.00,89.66
2882.00,89.70
2881.00,89.76
2880.00,89.81
2879.00,89.86
2878.00,89.88
2877.00,89.89
2876.00,89.90
2875.00,89.91
2874.00,89.94
2873.00,90.00
2872.00,90.06
2871.00,90.13
2870.00,90.18
2869.00,90.22
2868.00,90.24
2867.00,90.27
2866.00,90.31
2865.00,90.34
2864.00,90.36
2863.00,90.36
2862.00,90.38
2861.00,90.42
2860.00,90.48
2859.00,90.54
2858.00,90.58
2857.00,90.59
2856.00,90.60
2855.00,90.62
2854.00,90.67
2853.00,90.73
2852.00,90.80
2851.00,90.87
2850.00,90.92
2849.00,90.93
2848.00,90.92
2847.00,90.91
2846.00,90.92
2845.00,90.93
2844.00,90.95
2843.00,90.97
2842.00,91.02
2841.00,91.08
2840.00,91.15
2839.00,91.19
2838.00,91.20
2837.00,91.20
2836.00,91.20
2835.00,91.20
2834.00,91.21
2833.00,91.25
2832.00,91.30
2831.00,91.35
2830.00,91.39
2829.00,91.42
2828.00,91.44
2827.00,91.44
2826.00,91.46
2825.00,91.50
2824.00,91.54
2823.00,91.56
2822.00,91.54
2821.00,91.51
2820.00,91.49
2819.00,91.49
2818.00,91.51
2817.00,91.55
2816.00,91.60
2815.00,91.65
2814.00,91.70
2813.00,91.75
2812.00,91.79
2811.00,91.82
2810.00,91.85
2809.00,91.86
2808.00,91.84
2807.00,91.83
2806.00,91.83
2805.00,91.85
2804.00,91.88
2803.00,91.91
2802.00,91.92
2801.00,91.93
2800.00,91.93
2799.00,91.95
2798.00,91.97
2797.00,91.99
2796.00,92.00
2795.00,92.02
2794.00,92.05
2793.00,92.08
2792.00,92.11
2791.00,92.15
2790.00,92.18
2789.00,92.18
2788.00,92.15
2787.00,92.11
2786.00,92.09
2785.00,92.10
2784.00,92.14
2783.00,92.20
2782.00,92.24
2781.00,92.26
2780.00,92.28
2779.00,92.30
2778.00,92.34
2777.00,92.40
2776.00,92.44
2775.00,92.47
2774.00,92.48
2773.00,92.48
2772.00,92.46
2771.00,92.44
2770.00,92.43
2769.00,92.43
2768.00,92.43
2767.00,92.44
2766.00,92.46
2765.00,92.50
2764.00,92.54
2763.00,92.58
2762.00,92.59
2761.00,92.57
2760.00,92.55
2759.00,92.54
2758.00,92.54
2757.00,92.56
2756.00,92.56
2755.00,92.56
2754.00,92.57
2753.00,92.59
2752.00,92.62
2751.00,92.65
2750.00,92.66
2749.00,92.66
2748.00,92.66
2747.00,92.66
2746.00,92.67
2745.00,92.67
2744.00,92.67
2743.00,92.67
2742.00,92.68
2741.00,92.69
2740.00,92.71
2739.00,92.75
2738.00,92.79
2737.00,92.83
2736.00,92.83
2735.00,92.81
2734.00,92.78
2733.00,92.76
2732.00,92.76
2731.00,92.76
2730.00,92.78
2729.00,92.79
2728.00,92.82
2727.00,92.85
2726.00,92.88
2725.00,92.89
2724.00,92.88
