Created as New Dataset,Sample 005 By Administrator Date Thursday, December 10 2020
cm-1,%T
3472.00,61.54
3471.00,61.41
3470.00,61.24
3469.00,61.06
3468.00,60.88
3467.00,60.70
3466.00,60.54
3465.00,60.42
3464.00,60.33
3463.00,60.25
3462.00,60.16
3461.00,60.05
3460.00,59.92
3459.00,59.77
3458.00,59.60
3457.00,59.42
3456.00,59.25
3455.00,59.11
3454.00,59.01
3453.00,58.90
3452.00,58.76
3451.00,58.61
3450.00,58.44
3449.00,58.27
3448.00,58.11
3447.00,58.00
3446.00,57.92
3445.00,57.86
3444.00,57.79
3443.00,57.67
3442.00,57.51
3441.00,57.32
3440.00,57.12
3439.00,56.93
3438.00,56.76
3437.00,56.63
3436.00,56.53
3435.00,56.45
3434.00,56.35
3433.00,56.23
3432.00,56.08
3431.00,55.94
3430.00,55.80
3429.00,55.68
3428.00,55.57
3427.00,55.47
3426.00,55.36
3425.00,55.24
3424.00,55.12
3423.00,54.99
3422.00,54.86
3421.00,54.73
3420.00,54.59
3419.00,54.45
3418.00,54.31
3417.00,54.19
3416.00,54.08
3415.00,53.99
3414.00,53.91
3413.00,53.83
3412.00,53.74
3411.00,53.65
3410.00,53.55
3409.00,53.44
3408.00,53.33
3407.00,53.22
3406.00,53.11
3405.00,53.01
3404.00,52.91
3403.00,52.81
3402.00,52.69
3401.00,52.55
3400.00,52.41
3399.00,52.28
3398.00,52.17
3397.00,52.10
3396.00,52.07
3395.00,52.04
3394.00,52.00
3393.00,51.93
3392.00,51.83
3391.00,51.72
3390.00,51.62
3389.00,51.54
3388.00,51.46
3387.00,51.40
3386.00,51.34
3385.00,51.30
3384.00,51.25
3383.00,51.20
3382.00,51.13
3381.00,51.04
3380.00,50.95
3379.00,50.89
3378.00,50.84
3377.00,50.81
3376.00,50.77
3375.00,50.72
3374.00,50.65
3373.00,50.58
3372.00,50.50
3371.00,50.41
3370.00,50.32
3369.00,50.24
3368.00,50.17
3367.00,50.14
3366.00,50.13
3365.00,50.11
3364.00,50.07
3363.00,50.01
3362.00,49.95
3361.00,49.93
3360.00,49.93
3359.00,49.94
3358.00,49.91
3357.00,49.87
3356.00,49.82
3355.00,49.80
3354.00,49.80
3353.00,49.79
3352.00,49.77
3351.00,49.75
3350.00,49.74
3349.00,49.74
3348.00,49.75
3347.00,49.76
3346.00,49.76
3345.00,49.74
3344.00,49.73
3343.00,49.71
3342.00,49.70
3341.00,49.67
3340.00,49.64
3339.00,49.59
3338.00,49.56
3337.00,49.54
3336.00,49.55
3335.00,49.56
3334.00,49.57
3333.00,49.57
3332.00,49.56
3331.00,49.56
3330.00,49.55
3329.00,49.54
3328.00,49.51
3327.00,49.47
3326.00,49.45
3325.00,49.45
3324.00,49.49
3323.00,49.54
3322.00,49.59
3321.00,49.61
3320.00,49.61
3319.00,49.62
3318.00,49.65
3317.00,49.69
3316.00,49.71
3315.00,49.71
3314.00,49.67
3313.00,49.64
3312.00,49.64
3311.00,49.66
3310.00,49.68
3309.00,49.67
3308.00,49.64
3307.00,49.61
3306.00,49.60
3305.00,49.61
3304.00,49.61
3303.00,49.58
3302.00,49.53
3301.00,49.50
3300.00,49.49
3299.00,49.51
3298.00,49.54
3297.00,49.57
3296.00,49.62
3295.00,49.68
3294.00,49.73
3293.00,49.76
3292.00,49.78
3291.00,49.78
3290.00,49.78
3289.00,49.77
