Created as New Dataset,Sample 000 By Administrator Date Tuesday, December 15 2020
cm-1,%T
3452.00,58.76
3451.00,58.63
3450.00,58.49
3449.00,58.32
3448.00,58.15
3447.00,57.98
3446.00,57.84
3445.00,57.72
3444.00,57.59
3443.00,57.44
3442.00,57.31
3441.00,57.22
3440.00,57.13
3439.00,57.00
3438.00,56.78
3437.00,56.52
3436.00,56.30
3435.00,56.16
3434.00,56.09
3433.00,56.04
3432.00,55.97
3431.00,55.85
3430.00,55.70
3429.00,55.54
3428.00,55.42
3427.00,55.33
3426.00,55.25
3425.00,55.15
3424.00,55.02
3423.00,54.88
3422.00,54.77
3421.00,54.70
3420.00,54.65
3419.00,54.58
3418.00,54.47
3417.00,54.29
3416.00,54.06
3415.00,53.81
3414.00,53.61
3413.00,53.46
3412.00,53.35
3411.00,53.25
3410.00,53.14
3409.00,53.03
3408.00,52.92
3407.00,52.84
3406.00,52.77
3405.00,52.68
3404.00,52.57
3403.00,52.44
3402.00,52.34
3401.00,52.30
3400.00,52.29
3399.00,52.27
3398.00,52.18
3397.00,52.01
3396.00,51.80
3395.00,51.61
3394.00,51.49
3393.00,51.42
3392.00,51.37
3391.00,51.31
3390.00,51.25
3389.00,51.19
3388.00,51.12
3387.00,51.03
3386.00,50.90
3385.00,50.74
3384.00,50.57
3383.00,50.46
3382.00,50.40
3381.00,50.39
3380.00,50.38
3379.00,50.36
3378.00,50.32
3377.00,50.28
3376.00,50.24
3375.00,50.22
3374.00,50.18
3373.00,50.13
3372.00,50.05
3371.00,49.97
3370.00,49.88
3369.00,49.79
3368.00,49.71
3367.00,49.66
3366.00,49.65
3365.00,49.66
3364.00,49.69
3363.00,49.70
3362.00,49.72
3361.00,49.72
3360.00,49.68
3359.00,49.62
3358.00,49.54
3357.00,49.47
3356.00,49.43
3355.00,49.39
3354.00,49.34
3353.00,49.29
3352.00,49.26
3351.00,49.26
3350.00,49.26
3349.00,49.26
3348.00,49.26
3347.00,49.27
3346.00,49.28
